---,DisplayName,Grade,Slot,WeaponType,StatModifiers,Icon,MaxStack,CraftMaterialA,CraftMaterialB
hammer_t1,"NSLOCTEXT(""[7F65C10201916DE75736CAF8E562B683]"", ""38A9EE764491EE8BDC1ACEA596AB946F"", ""망치"")","Hero","Weapon","Hammer","(((AttributeName=""AttackPower"",Attribute=/Script/EternalReturn.ERAttributeSet:AttackPower,AttributeOwner=""/Script/CoreUObject.Class'/Script/EternalReturn.ERAttributeSet'""), 30.000000))","None","1","None","None"
sniper_t1,"NSLOCTEXT(""[7F65C10201916DE75736CAF8E562B683]"", ""61D371D349E7B1BE3CFE509CEE8F0454"", ""저격총"")","Hero","Weapon","SniperRifle","(((AttributeName=""AttackPower"",Attribute=/Script/EternalReturn.ERAttributeSet:AttackPower,AttributeOwner=""/Script/CoreUObject.Class'/Script/EternalReturn.ERAttributeSet'""), 25.000000),((AttributeName=""AttackRange"",Attribute=/Script/EternalReturn.ERAttributeSet:AttackRange,AttributeOwner=""/Script/CoreUObject.Class'/Script/EternalReturn.ERAttributeSet'""), 1.000000))","None","1","None","None"
hat_t1,"NSLOCTEXT(""[7F65C10201916DE75736CAF8E562B683]"", ""4F06EC2C4E33B7193971E3A1DAE64605"", ""모자"")","Rare","Head","None","(((AttributeName=""Defense"",Attribute=/Script/EternalReturn.ERAttributeSet:Defense,AttributeOwner=""/Script/CoreUObject.Class'/Script/EternalReturn.ERAttributeSet'""), 10.000000))","/Game/ER/UI/UE_UI/Icon/Item/ItemIcon_201404.ItemIcon_201404","1","None","None"
dagger_t1,"NSLOCTEXT(""[7F65C10201916DE75736CAF8E562B683]"", ""0164EA6C49742ED7A4063F816DF4A013"", ""단검"")","Hero","Weapon","Dagger","(((AttributeName=""AttackPower"",Attribute=/Script/EternalReturn.ERAttributeSet:AttackPower,AttributeOwner=""/Script/CoreUObject.Class'/Script/EternalReturn.ERAttributeSet'""), 20.000000))","None","1","None","None"
stone,"NSLOCTEXT(""[7F65C10201916DE75736CAF8E562B683]"", ""B546F59F401186E91E8ABC8DF221A19F"", ""돌멩이"")","Common","None","None","()","None","3","None","None"
Legend_t1,"NSLOCTEXT(""[7F65C10201916DE75736CAF8E562B683]"", ""F8C8FD85437C3252FA2EC48329905E20"", ""전설 무기"")","Legend","Weapon","Dagger","(((AttributeName=""AttackPower"",Attribute=/Script/EternalReturn.ERAttributeSet:AttackPower,AttributeOwner=""/Script/CoreUObject.Class'/Script/EternalReturn.ERAttributeSet'""), 100.000000))","None","1","None","None"
Axe_t1,"NSLOCTEXT(""[7F65C10201916DE75736CAF8E562B683]"", ""64E371774DA729802F0A518291A1B229"", ""도끼"")","Hero","Weapon","Axe","(((AttributeName=""AttackPower"",Attribute=/Script/EternalReturn.ERAttributeSet:AttackPower,AttributeOwner=""/Script/CoreUObject.Class'/Script/EternalReturn.ERAttributeSet'""), 20.000000))","None","1","None","None"
hammer,"망치","Common","Weapon","Hammer","(((AttributeName=""AttackPower"",Attribute=/Script/EternalReturn.ERAttributeSet:AttackPower,AttributeOwner=""/Script/CoreUObject.Class'/Script/EternalReturn.ERAttributeSet'""), 16.000000))","None","1","None","None"
deer_hammer,"사슴 망치","Uncommon","Weapon","Hammer","(((AttributeName=""AttackPower"",Attribute=/Script/EternalReturn.ERAttributeSet:AttackPower,AttributeOwner=""/Script/CoreUObject.Class'/Script/EternalReturn.ERAttributeSet'""), 25.000000))","None","1","hammer","rubber"
warhammer,"워해머","Uncommon","Weapon","Hammer","(((AttributeName=""AttackPower"",Attribute=/Script/EternalReturn.ERAttributeSet:AttackPower,AttributeOwner=""/Script/CoreUObject.Class'/Script/EternalReturn.ERAttributeSet'""), 22.000000))","None","1","hammer","nail"
